client_id,fio,phone,email,city,created_at
c102832,Юлия Тихонова,+7 (999) 244-33-50,user102832@example.ru,Красноярск,10.06.2024
c102323,Юлия Нестеров,+7 (941) 484-28-33,user102323@example.ru,Екатеринбург,10.04.2024
c104091,Юлия Юдина,+7 (955) 448-08-40,user104091@example.ru,Москва,04.09.2024
c102065,Игорь Зуева,+7 (961) 852-04-60,user102065@example.ru,Санкт-Петербург,20.03.2025
c105118,Юлия Савельев,+7 (999) 008-02-10,user105118@example.ru,Казань,02.11.2025
c103294,Артур Белых,+7 (967) 801-21-83,user103294@example.ru,Казань,14.10.2025
c104339,Тимур Мешков,+7 (925) 206-42-47,user104339@example.ru,Новосибирск,02.11.2024
c102924,Вера Панин,+7 (955) 668-90-54,user102924@example.ru,Санкт-Петербург,19.04.2026
c103553,Елена Гордеев,+7 (963) 528-93-53,user103553@example.ru,Москва,20.08.2025
c103674,Елена Гордеев,+7 (943) 394-38-25,user103674@example.ru,Москва,01.12.2024
c103383,Максим Зуева,+7 (922) 024-65-25,user103383@example.ru,Москва,31.12.2025
c102364,Ольга Сорокина,+7 (949) 216-85-17,user102364@example.ru,Санкт-Петербург,19.03.2025
c103367,Лидия Лаптев,+7 (987) 367-33-71,user103367@example.ru,Красноярск,22.01.2026
c105993,Полина Зуева,+7 (983) 200-75-27,user105993@example.ru,Екатеринбург,26.06.2024
c103116,Павел Ковальчук,+7 (946) 634-53-35,user103116@example.ru,Казань,10.04.2026
c105269,Роман Нестеров,+7 (919) 141-39-68,user105269@example.ru,Казань,10.06.2024
c106725,Глеб Тихонова,+7 (953) 547-82-14,user106725@example.ru,Санкт-Петербург,15.02.2025
c100174,Мария Шилова,+7 (930) 035-97-76,user100174@example.ru,Москва,29.03.2025
c104269,Анна Савельев,+7 (919) 581-11-28,user104269@example.ru,Москва,29.02.2024
c102176,Артур Юдина,+7 (925) 332-14-47,user102176@example.ru,Казань,19.03.2024
c105323,Анна Сорокина,+7 (944) 243-15-20,user105323@example.ru,Москва,30.06.2025
c101528,Вера Лаптев,+7 (969) 323-68-46,user101528@example.ru,Москва,16.06.2025
c102149,Артур Сорокина,+7 (932) 625-45-86,user102149@example.ru,Екатеринбург,18.06.2024
c104234,Вера Шилова,+7 (993) 694-66-47,user104234@example.ru,Екатеринбург,14.06.2025
c100691,Денис Сорокина,+7 (930) 537-89-46,user100691@example.ru,Красноярск,02.06.2025
c106417,Артур Ермаков,+7 (920) 625-20-36,user106417@example.ru,Красноярск,12.05.2025
c100711,Ольга Мешков,+7 (943) 095-02-07,user100711@example.ru,Новосибирск,20.03.2026
c101539,Ольга Осипова,+7 (923) 008-61-92,user101539@example.ru,Санкт-Петербург,26.10.2024
c102142,Полина Юдина,+7 (989) 899-37-75,user102142@example.ru,Красноярск,29.01.2025
c101757,Егор Мешков,+7 (945) 922-36-49,user101757@example.ru,Казань,07.01.2026
c102452,Глеб Сорокина,+7 (923) 344-97-49,user102452@example.ru,Москва,29.09.2025
c102753,Вера Крылов,+7 (926) 281-45-37,user102753@example.ru,Москва,07.08.2025
c104939,Наталья Шилова,+7 (932) 112-27-64,user104939@example.ru,Красноярск,02.08.2024
c104012,Мария Нестеров,+7 (975) 853-13-43,user104012@example.ru,Москва,23.02.2024
c103829,Кирилл Панин,+7 (975) 397-58-78,user103829@example.ru,Казань,15.05.2024
c105570,Алиса Савельев,+7 (911) 545-42-45,user105570@example.ru,Санкт-Петербург,12.12.2025
c105422,Лидия Савельев,+7 (971) 533-57-79,user105422@example.ru,Екатеринбург,18.03.2025
c103476,Павел Сорокина,+7 (996) 459-71-97,user103476@example.ru,Екатеринбург,22.08.2025
c105935,Анна Ковальчук,+7 (932) 947-97-04,user105935@example.ru,Казань,29.11.2025
c106493,Вера Тихонова,+7 (956) 033-20-26,user106493@example.ru,Красноярск,10.04.2025
c105246,Глеб Осипова,+7 (947) 445-39-37,user105246@example.ru,Екатеринбург,25.04.2025
c100384,Максим Юдина,+7 (955) 774-65-09,user100384@example.ru,Красноярск,20.02.2024
c104609,Анна Нестеров,+7 (939) 267-18-70,user104609@example.ru,Москва,29.06.2024
c103337,Наталья Шилова,+7 (934) 035-57-03,user103337@example.ru,Екатеринбург,03.07.2024
c100484,Денис Гордеев,+7 (953) 948-84-00,user100484@example.ru,Казань,22.10.2025
c106136,Ольга Сорокина,+7 (923) 989-56-05,user106136@example.ru,Екатеринбург,21.12.2025
c100607,Наталья Белых,+7 (942) 656-29-85,user100607@example.ru,Москва,22.06.2024
c101285,Игорь Белых,+7 (958) 725-37-17,user101285@example.ru,Екатеринбург,19.04.2026
c105925,Егор Ковальчук,+7 (934) 269-15-55,user105925@example.ru,Москва,07.12.2024
c102279,Юлия Савельев,+7 (948) 967-37-69,user102279@example.ru,Москва,05.07.2024
c101216,Юлия Мешков,+7 (951) 810-53-32,user101216@example.ru,Екатеринбург,27.08.2025
c106728,Мария Сорокина,+7 (955) 175-97-40,user106728@example.ru,Екатеринбург,26.03.2026
c104882,Ольга Шилова,+7 (974) 288-14-40,user104882@example.ru,Красноярск,02.08.2025
c100467,Глеб Крылов,+7 (957) 925-22-68,user100467@example.ru,Казань,09.05.2024
c105648,Кирилл Гордеев,+7 (980) 867-37-63,user105648@example.ru,Новосибирск,02.09.2024
c106724,Ольга Ермаков,+7 (928) 321-85-33,user106724@example.ru,Новосибирск,17.05.2026
c103944,Кирилл Нестеров,+7 (964) 499-01-69,user103944@example.ru,Екатеринбург,19.06.2024
c104082,Глеб Савельев,+7 (981) 873-33-21,user104082@example.ru,Новосибирск,02.10.2024
c104406,Глеб Шилова,+7 (971) 832-47-71,user104406@example.ru,Санкт-Петербург,09.02.2025
c102086,Игорь Осипова,+7 (981) 856-80-63,user102086@example.ru,Екатеринбург,22.06.2026
c102786,Павел Осипова,+7 (988) 132-99-68,user102786@example.ru,Новосибирск,19.01.2024
c102863,Максим Нестеров,+7 (972) 219-11-87,user102863@example.ru,Казань,21.07.2025
c104248,Алиса Савельев,+7 (974) 166-19-10,user104248@example.ru,Москва,08.05.2026
c106021,Денис Тихонова,+7 (922) 135-78-72,user106021@example.ru,Москва,22.01.2025
